batch_index,run_id,optical_frame_index,optical_timestamp_ms,optical_image_path,sar_frame_index,sar_timestamp_ms,sar_image_path,nominal_timestamp_residual_ms,sync_status,selection_reason,annotation_status,automatic_hint_is_identity_authority,person_gt
1,R02ZF,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000000_t000000ms.jpg,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000000_t000000ms.jpg,0,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,UNIFORM_FULL_SEQUENCE_COVERAGE,PENDING,False,False
2,R02ZF,30,1667,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000030_t001667ms.jpg,50,1667,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000050_t001667ms.jpg,0,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,UNIFORM_FULL_SEQUENCE_COVERAGE,PENDING,False,False
3,R02ZF,60,3333,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000060_t003333ms.jpg,100,3333,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000100_t003333ms.jpg,0,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,UNIFORM_FULL_SEQUENCE_COVERAGE,PENDING,False,False
4,R02ZF,90,5000,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000090_t005000ms.jpg,150,5000,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000150_t005000ms.jpg,0,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,UNIFORM_FULL_SEQUENCE_COVERAGE,PENDING,False,False
5,R02ZF,110,6111,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000110_t006111ms.jpg,183,6100,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000183_t006100ms.jpg,-11,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,DENSE_CONTEXT_AROUND_OPT_F110_F135,PENDING,False,False
6,R02ZF,115,6389,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000115_t006389ms.jpg,192,6400,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000192_t006400ms.jpg,11,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,DENSE_CONTEXT_AROUND_OPT_F110_F135,PENDING,False,False
7,R02ZF,120,6667,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000120_t006667ms.jpg,200,6667,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000200_t006667ms.jpg,0,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,USER_CORE_CASE_OPT_F120,PENDING,False,False
8,R02ZF,125,6944,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000125_t006944ms.jpg,208,6933,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000208_t006933ms.jpg,-11,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,DENSE_CONTEXT_AROUND_OPT_F110_F135,PENDING,False,False
9,R02ZF,130,7222,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000130_t007222ms.jpg,217,7233,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000217_t007233ms.jpg,11,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,DENSE_CONTEXT_AROUND_OPT_F110_F135,PENDING,False,False
10,R02ZF,135,7500,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000135_t007500ms.jpg,225,7500,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000225_t007500ms.jpg,0,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,DENSE_CONTEXT_AROUND_OPT_F110_F135,PENDING,False,False
11,R02ZF,160,8889,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000160_t008889ms.jpg,267,8900,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000267_t008900ms.jpg,11,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,UNIFORM_FULL_SEQUENCE_COVERAGE,PENDING,False,False
12,R02ZF,198,11000,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000198_t011000ms.jpg,330,11000,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000330_t011000ms.jpg,0,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,PRIOR_STABLE_SEGMENT_CONTEXT_NOT_IDENTITY_AUTHORITY,PENDING,False,False
13,R02ZF,201,11167,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000201_t011167ms.jpg,335,11167,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000335_t011167ms.jpg,0,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,PRIOR_STABLE_SEGMENT_CONTEXT_NOT_IDENTITY_AUTHORITY,PENDING,False,False
14,R02ZF,225,12500,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000225_t012500ms.jpg,375,12500,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000375_t012500ms.jpg,0,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,UNIFORM_FULL_SEQUENCE_COVERAGE,PENDING,False,False
15,R02ZF,250,13889,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000250_t013889ms.jpg,417,13900,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000417_t013900ms.jpg,11,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,UNIFORM_FULL_SEQUENCE_COVERAGE,PENDING,False,False
16,R02ZF,275,15278,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000275_t015278ms.jpg,458,15267,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000458_t015267ms.jpg,-11,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,UNIFORM_FULL_SEQUENCE_COVERAGE,PENDING,False,False
17,R02ZF,290,16111,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000290_t016111ms.jpg,483,16100,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000483_t016100ms.jpg,-11,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,UNIFORM_FULL_SEQUENCE_COVERAGE,PENDING,False,False
18,R02ZF,297,16500,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000297_t016500ms.jpg,494,16467,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000494_t016467ms.jpg,-33,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,UNIFORM_FULL_SEQUENCE_COVERAGE,PENDING,False,False
