scene,canonical_vehicle_id,optical_frame_start,optical_frame_end,support_frame_count,candidate_complete_frame_count,max_contiguous_complete_frames,identity_status,visibility_status,boundary_contact_status,occlusion_status,selection_basis,human_review_status,candidate_status,notes
GM_RM011,GM_RM011:PV001,0,35,36,0,0,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,NO_FULL_VISIBLE_FRAME,BOUNDARY_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,DEFERRED_COMPLEXITY,registry_confidence=confirmed_with_partial_visibility; color=white; shape=compact crossover/SUV; nearest_boundary_margin_px=4.576999999999998
GM_RM011,GM_RM011:PV002,0,4,5,0,0,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,NO_FULL_VISIBLE_FRAME,BOUNDARY_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,DEFERRED_COMPLEXITY,registry_confidence=confirmed_with_partial_visibility; color=white/silver; shape=partial parked passenger vehicle; nearest_boundary_margin_px=None
GM_RM011,GM_RM011:PV003,20,59,40,0,0,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,NO_FULL_VISIBLE_FRAME,BOUNDARY_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,DEFERRED_COMPLEXITY,registry_confidence=confirmed_with_partial_visibility; color=white; shape=large MPV; nearest_boundary_margin_px=4.355000000000018
GM_RM011,GM_RM011:PV004,39,87,49,3,2,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,FULL_VISIBLE_FRAMES_PRESENT,INTERIOR_BBOX_FRAMES_PRESENT,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,DEFERRED_COMPLEXITY,registry_confidence=confirmed_with_partial_visibility; color=silver cover; shape=fully covered passenger vehicle; nearest_boundary_margin_px=5.330000000000041
GM_RM011,GM_RM011:PV005,87,130,44,0,0,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,NO_FULL_VISIBLE_FRAME,BOUNDARY_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,DEFERRED_COMPLEXITY,registry_confidence=confirmed_with_partial_visibility; color=white; shape=Nissan sedan; nearest_boundary_margin_px=None
GM_RM011,GM_RM011:PV006,110,140,31,3,2,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,FULL_VISIBLE_FRAMES_PRESENT,INTERIOR_BBOX_FRAMES_PRESENT,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,DEFERRED_COMPLEXITY,registry_confidence=confirmed_with_partial_visibility; color=tan/orange cover; shape=fully covered passenger vehicle; nearest_boundary_margin_px=4.173000000000002
GM_RM011,GM_RM011:PV007,116,151,36,0,0,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,NO_FULL_VISIBLE_FRAME,BOUNDARY_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,DEFERRED_COMPLEXITY,registry_confidence=confirmed_with_partial_visibility; color=dark gray; shape=sedan; nearest_boundary_margin_px=None
GM_RM011,GM_RM011:PV008,135,166,32,0,0,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,NO_FULL_VISIBLE_FRAME,BOUNDARY_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,DEFERRED_COMPLEXITY,registry_confidence=confirmed_with_partial_visibility; color=white; shape=Honda sedan; nearest_boundary_margin_px=None
GM_RM011,GM_RM011:PV009,155,196,42,1,1,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,FULL_VISIBLE_FRAMES_PRESENT,INTERIOR_BBOX_FRAMES_PRESENT,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,DEFERRED_COMPLEXITY,registry_confidence=confirmed_with_partial_visibility; color=silver cover; shape=fully covered passenger vehicle; nearest_boundary_margin_px=7.125
GM_RM011,GM_RM011:PV010,211,245,35,0,0,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,NO_FULL_VISIBLE_FRAME,BOUNDARY_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,DEFERRED_COMPLEXITY,registry_confidence=confirmed_with_partial_visibility; color=white; shape=compact sedan; nearest_boundary_margin_px=None
GM_RM011,GM_RM011:PV011,243,266,24,0,0,CANONICAL_OPTICAL_IDENTITY_CONFIRMED,NO_FULL_VISIBLE_FRAME,BOUNDARY_OR_UNKNOWN,UNKNOWN_DIRECT_REVIEW_REQUIRED,optical-only full-visible frames with interior bbox and temporal support,REVIEW_REQUIRED,DEFERRED_COMPLEXITY,registry_confidence=confirmed_with_partial_visibility; color=white; shape=sleek sedan; nearest_boundary_margin_px=4.725000000000023
