unit_id,run_id,start_frame,end_frame,unit_kind,overlap_cluster_id,selection_rule
R01_FULL,R01ZF,0,494,FULL_STREAM,R01_FULL_CLUSTER,complete development stream
R02_FULL,R02ZF,0,494,FULL_STREAM,R02_FULL_CLUSTER,complete development stream
R03_FULL,R03ZF,0,494,FULL_STREAM,R03_FULL_CLUSTER,complete development stream
R02_CRITICAL_CHAIN_F450_F494,R02ZF,450,494,EARLY_TO_RELATION_CHAIN,R02_F450_F494_CLUSTER,user-required fixed critical chain
R02_EARLY_F450_F475,R02ZF,450,475,LOWER_AMBIGUITY_CONTEXT,R02_F450_F494_CLUSTER,user-required early subsection
R02_RELATION_F487_F494,R02ZF,487,494,DENSE_RELATION,R02_F450_F494_CLUSTER,user-required relation window
R03_NATURAL_SINGLETON_F450_F475,R03ZF,450,475,NATURAL_SINGLETON,R03_F450_F475_CLUSTER,user-required natural-singleton window
R03_SINGLETON_CORE_F454_F471,R03ZF,454,471,NATURAL_SINGLETON_CORE,R03_F450_F475_CLUSTER,user-required core review window
R01ZF_MECHANICAL_EARLY,R01ZF,0,9,EARLY,R01ZF_MECHANICAL_EARLY_CLUSTER,first ten frames with runtime candidate burden
R01ZF_MECHANICAL_MAX_BURDEN,R01ZF,9,18,MULTI_OR_AMBIGUOUS,R01ZF_MECHANICAL_MAX_CLUSTER,maximum fixed ten-frame rolling mean N_region
R01ZF_MECHANICAL_BOUNDARY,R01ZF,485,494,BOUNDARY_OR_DORMANCY,R01ZF_MECHANICAL_BOUNDARY_CLUSTER,last ten frames with runtime candidate burden
R02ZF_MECHANICAL_EARLY,R02ZF,94,103,EARLY,R02ZF_MECHANICAL_EARLY_CLUSTER,first ten frames with runtime candidate burden
R02ZF_MECHANICAL_MAX_BURDEN,R02ZF,419,428,MULTI_OR_AMBIGUOUS,R02ZF_MECHANICAL_MAX_CLUSTER,maximum fixed ten-frame rolling mean N_region
R02ZF_MECHANICAL_BOUNDARY,R02ZF,485,494,BOUNDARY_OR_DORMANCY,R02ZF_MECHANICAL_BOUNDARY_CLUSTER,last ten frames with runtime candidate burden
R03ZF_MECHANICAL_EARLY,R03ZF,429,438,EARLY,R03ZF_MECHANICAL_EARLY_CLUSTER,first ten frames with runtime candidate burden
R03ZF_MECHANICAL_MAX_BURDEN,R03ZF,424,433,MULTI_OR_AMBIGUOUS,R03ZF_MECHANICAL_MAX_CLUSTER,maximum fixed ten-frame rolling mean N_region
R03ZF_MECHANICAL_BOUNDARY,R03ZF,485,494,BOUNDARY_OR_DORMANCY,R03ZF_MECHANICAL_BOUNDARY_CLUSTER,last ten frames with runtime candidate burden
