run_id,raw_track_fragment_id,optical_person_id
R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_OPTPERSON001
R01ZF,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_OPTPERSON002
R01ZF,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_OPTPERSON003
R01ZF,R01ZF_REUSED_R01ZF_PERSON100002,R01ZF_OPTPERSON003
R01ZF,R01ZF_REUSED_R01ZF_PERSON100001,R01ZF_OPTPERSON004
R01ZF,R01ZF_REUSED_R01ZF_PERSON100003,R01ZF_OPTPERSON005
R01ZF,R01ZF_REUSED_R01ZF_PERSON100004,R01ZF_OPTPERSON006
R01ZF,R01ZF_REUSED_R01ZF_PERSON100005,R01ZF_OPTPERSON006
R01ZF,R01ZF_REUSED_R01ZF_PERSON100006,R01ZF_OPTPERSON007
R01ZF,R01ZF_REUSED_R01ZF_PERSON100007,R01ZF_OPTPERSON007
R01ZF,R01ZF_REUSED_R01ZF_PERSON100008,R01ZF_OPTPERSON008
R01ZF,R01ZF_REUSED_R01ZF_PERSON014,R01ZF_OPTPERSON007
R02ZF,R02ZF_REUSED_R02ZF_PERSON100001,R02ZF_OPTPERSON001
R02ZF,R02ZF_REUSED_R02ZF_PERSON100002,R02ZF_OPTPERSON002
R02ZF,R02ZF_REUSED_R02ZF_PERSON100003,R02ZF_OPTPERSON001
R02ZF,R02ZF_REUSED_R02ZF_PERSON100004,R02ZF_OPTPERSON002
R02ZF,R02ZF_REUSED_R02ZF_PERSON100005,R02ZF_OPTPERSON003
R02ZF,R02ZF_REUSED_R02ZF_PERSON100006,R02ZF_OPTPERSON002
R02ZF,R02ZF_REUSED_R02ZF_PERSON100007,R02ZF_OPTPERSON004
R02ZF,R02ZF_REUSED_R02ZF_PERSON100008,R02ZF_OPTPERSON005
R02ZF,R02ZF_REUSED_R02ZF_PERSON100009,R02ZF_OPTPERSON006
R02ZF,R02ZF_OPTPERSON006_INTERP_F000230,R02ZF_OPTPERSON006
R02ZF,R02ZF_REUSED_R02ZF_PERSON100010,R02ZF_OPTPERSON006
R02ZF,R02ZF_REUSED_R02ZF_PERSON100011,R02ZF_OPTPERSON006
R02ZF,R02ZF_REUSED_R02ZF_PERSON100012,R02ZF_OPTPERSON007
R02ZF,R02ZF_REUSED_R02ZF_PERSON100013,R02ZF_OPTPERSON008
R02ZF,R02ZF_REUSED_R02ZF_PERSON100014,R02ZF_OPTPERSON008
R02ZF,R02ZF_REUSED_R02ZF_PERSON100015,R02ZF_OPTPERSON008
R02ZF,R02ZF_OPTPERSON008_INTERP_F000253,R02ZF_OPTPERSON008
R02ZF,R02ZF_OPTPERSON008_INTERP_F000254,R02ZF_OPTPERSON008
R02ZF,R02ZF_REUSED_R02ZF_PERSON100016,R02ZF_OPTPERSON008
R02ZF,R02ZF_REUSED_R02ZF_PERSON011,R02ZF_OPTPERSON008
R02ZF,R02ZF_REUSED_R02ZF_PERSON100017,R02ZF_OPTPERSON008
R02ZF,R02ZF_REUSED_R02ZF_PERSON100018,R02ZF_OPTPERSON008
R02ZF,R02ZF_OPTPERSON008_INTERP_F000260,R02ZF_OPTPERSON008
R02ZF,R02ZF_REUSED_R02ZF_PERSON100019,R02ZF_OPTPERSON008
R02ZF,R02ZF_REUSED_R02ZF_PERSON100020,R02ZF_OPTPERSON009
R02ZF,R02ZF_OPTPERSON009_INTERP_F000267,R02ZF_OPTPERSON009
R02ZF,R02ZF_REUSED_R02ZF_PERSON100021,R02ZF_OPTPERSON008
R02ZF,R02ZF_OPTPERSON009_INTERP_F000268,R02ZF_OPTPERSON009
R02ZF,R02ZF_REUSED_R02ZF_PERSON100022,R02ZF_OPTPERSON008
R02ZF,R02ZF_OPTPERSON009_INTERP_F000269,R02ZF_OPTPERSON009
R02ZF,R02ZF_REUSED_R02ZF_PERSON100023,R02ZF_OPTPERSON009
R02ZF,R02ZF_REUSED_R02ZF_PERSON100024,R02ZF_OPTPERSON010
R02ZF,R02ZF_REUSED_R02ZF_PERSON100025,R02ZF_OPTPERSON009
R02ZF,R02ZF_REUSED_R02ZF_PERSON100027,R02ZF_OPTPERSON010
R02ZF,R02ZF_REUSED_R02ZF_PERSON100026,R02ZF_OPTPERSON011
R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_OPTPERSON009
R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_OPTPERSON011
R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_OPTPERSON012
R02ZF,R02ZF_REUSED_R02ZF_PERSON023,R02ZF_OPTPERSON013
R02ZF,R02ZF_REUSED_R02ZF_PERSON024,R02ZF_OPTPERSON014
R03ZF,R03ZF_I01_ANON00002,R03ZF_OPTPERSON001
R03ZF,R03ZF_I01_ANON00001,R03ZF_OPTPERSON002
R03ZF,R03ZF_I01_ANON00003,R03ZF_OPTPERSON001
R03ZF,R03ZF_I01_ANON00004,R03ZF_OPTPERSON002
R03ZF,R03ZF_I01_T0004,R03ZF_OPTPERSON002
