case_id,figure,seed_frame,frame_or_range,algorithm_state,visual_verdict,semantic_ridge_switch_confirmed,false_support_confirmed,note
ENTRANCE_F58_STOP,STOP_REASON_ATLAS.png,62,F58,UNKNOWN,CONSERVATIVE_STOP_ACCEPTABLE,False,False,"Far evidence is weak and fragmented; a boundary trace remains visible, but pair-safe support is not visually secure."
ENTRANCE_F59_F66_LOCAL_PATH,ENTRANCE_F057_F068_CURVE_EVOLUTION.png,62,F59-F66,SUPPORTED,LOCAL_CURVED_ENTRY_SUPPORT_PLAUSIBLE,False,False,The close F62 seed follows the visible curved near/far ridges over this short entrance interval.
ENTRANCE_F67_STOP,ENTRANCE_F057_F068_CURVE_EVOLUTION.png,62,F67,UNKNOWN,STRONGEST_PREMATURE_STOP_CANDIDATE,False,False,The near response fails the frozen gate although a human-visible boundary trace remains; conservative false-unknown is possible.
F66_NATURAL_OVERLAP_CONFLICT,F066_NATURAL_OVERLAP_SHAPE_CONFLICT.png,62_vs_150,F66,SUPPORTED_BY_BOTH_PATHS,FALSE_SUPPORT_CURVE_STATE,False,True,F62-forward retains the entrance curve while F150-backward imports a rigid near-horizontal state; both cannot be the correct full boundary state.
F150_BACKWARD_F82_CHECKPOINT,CHECKPOINT_COMPARISON_ATLAS.png,150,F82,SUPPORTED,CHECKPOINT_CONSISTENT,False,False,Automatic and manual near/far boundaries agree within the frozen numerical gate and on the same visible response.
F150_STABLE_SEGMENT_REVIEW,F150_process_review.png,150,"F82,F108,F150,F157,F164",SUPPORTED,STABLE_SEGMENT_SUPPORT_PLAUSIBLE,False,False,"Sampled start, middle, seed, and end frames remain on the visually corresponding near/far responses."
F150_FORWARD_F165_STOP,F150_process_review.png,150,F165,UNKNOWN,CONSERVATIVE_STOP_ACCEPTABLE,False,False,The frozen far-response gate fails at the transition; no silent continuation is forced.
F183_FORWARD_F239_CHECKPOINT,CHECKPOINT_COMPARISON_ATLAS.png,183,F239,SUPPORTED,CHECKPOINT_CONSISTENT,False,False,Automatic and manual geometry are visually and numerically consistent.
F183_STABLE_SEGMENT_REVIEW,F183_process_review.png,183,"F166,F174,F183,F221,F239,F259",SUPPORTED,STABLE_SEGMENT_SUPPORT_PLAUSIBLE,False,False,The sampled path remains on the same visible response family through the stable interval.
F183_FORWARD_F260_STOP,STOP_REASON_ATLAS.png,183,F260,UNKNOWN,SAFE_STOP_WITH_VISIBLE_STRUCTURE,False,False,"A structure remains human-visible, but the far proposal exceeds the frozen local corridor; stopping is safer than accepting a jump."
F264_BACKWARD_F183_CHECKPOINT,CHECKPOINT_COMPARISON_ATLAS.png,264,F183,SUPPORTED_NUMERIC_MISMATCH,SAME_RIDGE_SYSTEMATIC_OFFSET,False,False,The frozen 0.12 m check fails mainly from far-boundary offset; the image does not confirm a switch to another ridge.
F264_BACKWARD_F239_CHECKPOINT,CHECKPOINT_COMPARISON_ATLAS.png,264,F239,SUPPORTED_NUMERIC_MISMATCH,SAME_RIDGE_SYSTEMATIC_OFFSET,False,False,"The checkpoint mismatch is an offset on the same apparent response, not a confirmed semantic ridge switch."
F264_SEGMENT_REVIEW,F264_process_review.png,264,"F166,F215,F264,F266,F269",SUPPORTED,SAME_RESPONSE_WITH_OFFSET_RISK,False,False,"Sampled frames remain on the same apparent ridge family, while checkpoint offsets show that numerical support is not exact geometry truth."
F264_FORWARD_F270_STOP,F264_process_review.png,264,F270,UNKNOWN,CONSERVATIVE_STOP_ACCEPTABLE,False,False,The pair is not extended beyond the frozen evidence gate.
F454_BACKWARD_F405_STOP,STOP_REASON_ATLAS.png,454,F405,UNKNOWN,INPUT_AVAILABILITY_STOP,False,False,"P0 is unavailable for both boundaries; this is an input-availability stop, not an image-semantic claim."
F454_BACKWARD_F427_CHECKPOINT,CHECKPOINT_COMPARISON_ATLAS.png,454,F427,SUPPORTED_NUMERIC_MISMATCH,SAME_RIDGE_SYSTEMATIC_OFFSET,False,False,"This is the largest checkpoint disagreement, but the overlay remains on the same apparent response rather than a confirmed neighboring ridge."
F454_FORWARD_F472_CHECKPOINT,CHECKPOINT_COMPARISON_ATLAS.png,454,F472,SUPPORTED,CHECKPOINT_CONSISTENT,False,False,Automatic and manual boundary geometry pass the frozen checkpoint comparison.
F454_LATE_SEGMENT_REVIEW,F454_process_review.png,454,"F406,F430,F454,F468,F472,F481",SUPPORTED,LATE_SEGMENT_SUPPORT_PLAUSIBLE,False,False,The sampled late path remains on the same apparent response family; F427 retains a measurable offset caveat.
F454_FORWARD_F482_STOP,F454_process_review.png,454,F482,UNKNOWN,INPUT_AVAILABILITY_STOP,False,False,P0 is unavailable; optional context must exit rather than extrapolate.
