optical_event_id,segment_id,run_id,event_type,involved_track_ids,support_start_sar_frame,support_end_sar_frame,event_uncertainty_state,competing_interpretations_json,observable_evidence,event_is_hard_label,manual_reference_used
TERGOE_47E0697BEC266D0E318B,TERGS_1CFF140A9BB35DBEE86F,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON001,17,24,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 8 SAR frames,False,False
TERGOE_A29386AA89CCBD1AC141,TERGS_1CFF140A9BB35DBEE86F,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON002,17,24,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 8 SAR frames,False,False
TERGOE_376FD5937EDDBA6A3066,TERGS_1CFF140A9BB35DBEE86F,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON003,17,24,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 8 SAR frames,False,False
TERGOE_2212E62B549BFF782CD8,TERGS_1CFF140A9BB35DBEE86F,R01ZF,PAIR_GAP_SEPARATION_TENDENCY_DESCRIPTOR,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON003,17,24,CONTINUOUS_SIGN_DESCRIPTOR_NO_FITTED_THRESHOLD,"[""angular support gap trend"", ""camera projection trend"", ""bbox deformation""]",endpoint interval gap changes from 21.1370 to 21.7325 deg,False,False
TERGOE_23F6C1B46DB854D6F78F,TERGS_1CFF140A9BB35DBEE86F,R01ZF,PAIR_GAP_SEPARATION_TENDENCY_DESCRIPTOR,R01ZF_REUSED_R01ZF_PERSON002;R01ZF_REUSED_R01ZF_PERSON003,17,24,CONTINUOUS_SIGN_DESCRIPTOR_NO_FITTED_THRESHOLD,"[""angular support gap trend"", ""camera projection trend"", ""bbox deformation""]",endpoint interval gap changes from 26.6563 to 26.9139 deg,False,False
TERGOE_D8918D60D212245D28C8,TERGS_1CFF140A9BB35DBEE86F,R01ZF,PAIR_GAP_STABLE_DESCRIPTOR,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON002,17,24,CONTINUOUS_SIGN_DESCRIPTOR_NO_FITTED_THRESHOLD,"[""angular support gap trend"", ""camera projection trend"", ""bbox deformation""]",endpoint interval gap changes from 0.0000 to 0.0000 deg,False,False
TERGOE_A5D2179CE364012D5529,TERGS_1CFF140A9BB35DBEE86F,R01ZF,RELATIVE_ORDER_OVERLAP_UNCERTAINTY,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON002,17,24,UNCERTAINTY_STATE,"[""angular overlap"", ""possible occlusion"", ""projection ambiguity"", ""grouping ambiguity""]",raw angular support intervals overlap,False,False
TERGOE_530AAC2B462698E9D78C,TERGS_1CFF140A9BB35DBEE86F,R01ZF,RELATIVE_ORDER_STABLE,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON003,17,24,DEFINITE_INTERVAL_ORDER,"[""A_RIGHT_OF_B""]",raw optical angular intervals remain disjoint with stable order,False,False
TERGOE_F3DC1B2A545C8A73F16B,TERGS_1CFF140A9BB35DBEE86F,R01ZF,RELATIVE_ORDER_STABLE,R01ZF_REUSED_R01ZF_PERSON002;R01ZF_REUSED_R01ZF_PERSON003,17,24,DEFINITE_INTERVAL_ORDER,"[""A_RIGHT_OF_B""]",raw optical angular intervals remain disjoint with stable order,False,False
TERGOE_9B1E0E40A84EF65F378B,TERGS_2329DA3AFF8E7609BCB2,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON001,63,70,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 8 SAR frames,False,False
TERGOE_3270BAE67BE90F6ECEFA,TERGS_2329DA3AFF8E7609BCB2,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON002,63,70,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 8 SAR frames,False,False
TERGOE_54508A3D31B8562FB60D,TERGS_2329DA3AFF8E7609BCB2,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON003,63,70,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 8 SAR frames,False,False
TERGOE_480217E6474F1D9B7C0F,TERGS_2329DA3AFF8E7609BCB2,R01ZF,PAIR_GAP_APPROACH_TENDENCY_DESCRIPTOR,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON003,63,70,CONTINUOUS_SIGN_DESCRIPTOR_NO_FITTED_THRESHOLD,"[""angular support gap trend"", ""camera projection trend"", ""bbox deformation""]",endpoint interval gap changes from 20.8755 to 20.8138 deg,False,False
TERGOE_483214188BD0C69A828C,TERGS_2329DA3AFF8E7609BCB2,R01ZF,PAIR_GAP_SEPARATION_TENDENCY_DESCRIPTOR,R01ZF_REUSED_R01ZF_PERSON002;R01ZF_REUSED_R01ZF_PERSON003,63,70,CONTINUOUS_SIGN_DESCRIPTOR_NO_FITTED_THRESHOLD,"[""angular support gap trend"", ""camera projection trend"", ""bbox deformation""]",endpoint interval gap changes from 23.4818 to 24.4726 deg,False,False
TERGOE_262F010E2E4AD174924B,TERGS_2329DA3AFF8E7609BCB2,R01ZF,PAIR_GAP_STABLE_DESCRIPTOR,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON002,63,70,CONTINUOUS_SIGN_DESCRIPTOR_NO_FITTED_THRESHOLD,"[""angular support gap trend"", ""camera projection trend"", ""bbox deformation""]",endpoint interval gap changes from 0.0000 to 0.0000 deg,False,False
TERGOE_492BE31C14BE8691DCC9,TERGS_2329DA3AFF8E7609BCB2,R01ZF,RELATIVE_ORDER_OVERLAP_UNCERTAINTY,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON002,63,70,UNCERTAINTY_STATE,"[""angular overlap"", ""possible occlusion"", ""projection ambiguity"", ""grouping ambiguity""]",raw angular support intervals overlap,False,False
TERGOE_4EE176595B13D2D9A25A,TERGS_2329DA3AFF8E7609BCB2,R01ZF,RELATIVE_ORDER_STABLE,R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON003,63,70,DEFINITE_INTERVAL_ORDER,"[""A_RIGHT_OF_B""]",raw optical angular intervals remain disjoint with stable order,False,False
TERGOE_1684F3E05CAFBD6C0F3B,TERGS_2329DA3AFF8E7609BCB2,R01ZF,RELATIVE_ORDER_STABLE,R01ZF_REUSED_R01ZF_PERSON002;R01ZF_REUSED_R01ZF_PERSON003,63,70,DEFINITE_INTERVAL_ORDER,"[""A_RIGHT_OF_B""]",raw optical angular intervals remain disjoint with stable order,False,False
TERGOE_C71500B565A8CD49A419,TERGS_253C26F1BF4B2985C601,R01ZF,OBSERVATION_BIRTH_HYPOTHESIS,R01ZF_REUSED_R01ZF_PERSON001,0,1,SET_VALUED,"[""scene entry"", ""detector birth"", ""fragment start""]",first runtime-visible observation of fragment,False,False
TERGOE_B3F50B82FF69B593D4DA,TERGS_253C26F1BF4B2985C601,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON001,0,94,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 95 SAR frames,False,False
TERGOE_A75146E3D455208A4B1C,TERGS_253C26F1BF4B2985C601,R01ZF,OPTICAL_BOUNDARY_OR_TRUNCATION_STATE,R01ZF_REUSED_R01ZF_PERSON001,85,94,UNCERTAINTY_STATE,"[""partial visibility"", ""fan/common-FoV clipping"", ""bbox truncation""]",runtime-visible shell interval touches an observable boundary,False,False
TERGOE_AD949528DF167FBD52FB,TERGS_253C26F1BF4B2985C601,R01ZF,OBSERVATION_DEATH_HYPOTHESIS,R01ZF_REUSED_R01ZF_PERSON001,93,94,SET_VALUED,"[""scene exit"", ""detector loss"", ""fragment end""]",last runtime-visible observation of fragment,False,False
TERGOE_281D24D4C3F4E4F47389,TERGS_2A1E38ABAA50E3792676,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON003,107,114,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 8 SAR frames,False,False
TERGOE_FADE8DCA6EFF718D1409,TERGS_2A1E38ABAA50E3792676,R01ZF,OPTICAL_BOUNDARY_OR_TRUNCATION_STATE,R01ZF_REUSED_R01ZF_PERSON003,113,114,UNCERTAINTY_STATE,"[""partial visibility"", ""fan/common-FoV clipping"", ""bbox truncation""]",runtime-visible shell interval touches an observable boundary,False,False
TERGOE_19A80FDE7FD1E8BE61A5,TERGS_333C24F63385DAFD9021,R01ZF,OBSERVATION_PRESENCE_INTERVAL,R01ZF_REUSED_R01ZF_PERSON003,95,122,INTERVAL_OBSERVATION,"[""continuous presence"", ""detector-supported fragment presence""]",runtime-visible shell presence in 28 SAR frames,False,False
TERGOE_B4C5DCCBBE91B6CD5AB0,TERGS_333C24F63385DAFD9021,R01ZF,OPTICAL_BOUNDARY_OR_TRUNCATION_STATE,R01ZF_REUSED_R01ZF_PERSON003,113,122,UNCERTAINTY_STATE,"[""partial visibility"", ""fan/common-FoV clipping"", ""bbox truncation""]",runtime-visible shell interval touches an observable boundary,False,False
