case_id,case_category,segment_id,figure_path,real_image_observation,r0_constraint_verdict,inspection_state,reference_role
01,STRONG_JOINT_WORLD_CONTRACTION,TERGS_1BB7B9183580C17A201F,output/person_terg_r0_set_valued_explanation_constraint_propagation_20260829/figures/real_image_review/01_strong_contraction_grounding_overlay.png,"Three tracks have distinct likely-supported response families while the fourth has only unresolved single-hit grounding; the 36.50% contraction is therefore a mechanism case, not a complete likely-tuple evaluation.",SUPPORTS_NARROW_RELATIONAL_CONTRACTION_WITH_INCOMPLETE_GROUNDING,CODEX_PERSONALLY_INSPECTED,PRE_REFERENCE_SEMANTIC_REALITY_CHECK
02,FIVE_TRACK_COMPOUND_CONTRACTION,TERGS_406E06BEE8B19831E091,output/person_terg_r0_set_valued_explanation_constraint_propagation_20260829/figures/real_image_review/02_five_track_contraction_likely_tuple.png,Five-track imagery contains many response alternatives; pair constraints compound without producing a final assignment.,SUPPORTS_FEWER_TO_FEWER_NOT_ONE_TO_ONE,CODEX_PERSONALLY_INSPECTED,PRE_REFERENCE_SEMANTIC_REALITY_CHECK
03,PARTIAL_DIRECTION_AND_SHARED,TERGS_E7F91D8684FAAF6A9219,output/person_terg_r0_set_valued_explanation_constraint_propagation_20260829/figures/real_image_review/03_partial_shared_likely_tuple.png,F481-F485 includes definite direction followed by local shared/overlap ambiguity; shared evidence is preserved and not hard-rejected.,SHARED_REMAINS_PERMISSIVE,CODEX_PERSONALLY_INSPECTED,PRE_REFERENCE_SEMANTIC_REALITY_CHECK
04,NO_CONTRACTION,TERGS_E766DA8C46F860D1BA2F,output/person_terg_r0_set_valued_explanation_constraint_propagation_20260829/figures/real_image_review/04_no_contraction_likely_tuple.png,R01ZF F0-F15 remains visually continuous but optical intervals do not provide a whole-segment definite order contradiction.,NO_FALSE_CONTRACTION,CODEX_PERSONALLY_INSPECTED,PRE_REFERENCE_SEMANTIC_REALITY_CHECK
05,OPTIONAL_EDGE_DOMINATED_CONTINUITY,TERGS_E766DA8C46F860D1BA2F,output/person_terg_r0_set_valued_explanation_constraint_propagation_20260829/figures/real_image_review/05_optional_edge_continuity.png,The long continuous response is visually legal although most links are optional/deformation-compatible.,OPTIONAL_EDGE_NOT_FALSE,CODEX_PERSONALLY_INSPECTED,PRE_REFERENCE_SEMANTIC_REALITY_CHECK
06,DEFORMATION_SPLIT_MERGE_AMBIGUITY,,output/person_terg_r0_set_valued_explanation_constraint_propagation_20260829/figures/real_image_review/06_split_deformation_uncertainty.png,Split-like morphology coexists with deformation/fragmentation interpretations.,TOPOLOGY_NOT_HARD_EXCLUSION,CODEX_PERSONALLY_INSPECTED,PRE_REFERENCE_SEMANTIC_REALITY_CHECK
07,SHARED_AND_COMPETING_DIRECTION,,output/person_terg_r0_set_valued_explanation_constraint_propagation_20260829/figures/real_image_review/07_shared_competing_relation.png,Shared physical responses coexist with left/right/overlap alternatives.,RELATION_SET_UNCERTAINTY_PRESERVED,CODEX_PERSONALLY_INSPECTED,PRE_REFERENCE_SEMANTIC_REALITY_CHECK
08,HUMAN_VISIBLE_BUT_GROUNDING_UNRESOLVED,TERGS_E766DA8C46F860D1BA2F,output/person_terg_r0_set_valued_explanation_constraint_propagation_20260829/figures/real_image_review/08_human_visible_grounding_interface_limit.png,Visual continuity can exceed the strength of the offline grounding interface; LIKELY is not identity truth.,GROUNDING_INTERFACE_WEAKER_THAN_VISUAL_OBSERVABILITY,CODEX_PERSONALLY_INSPECTED,POST_REFERENCE_EVALUATION_ONLY
09,BOUNDARY_OR_CENSORED,TERGS_1BB7B9183580C17A201F,output/person_terg_r0_set_valued_explanation_constraint_propagation_20260829/figures/real_image_review/09_boundary_censored_case.png,Boundary/truncated family TERGV1F_E803ED34454EB1C7B2AA remains admissible.,WEAK_OBSERVABILITY_NOT_EXCLUSION,CODEX_PERSONALLY_INSPECTED,PRE_REFERENCE_SEMANTIC_REALITY_CHECK
10,LIKELY_SUPPORTED_TUPLE_RETENTION,TERGS_1BB7B9183580C17A201F,output/person_terg_r0_set_valued_explanation_constraint_propagation_20260829/figures/real_image_review/01_strong_contraction_grounding_overlay.png,The uniquely likely-supported joint tuple is retained.,POST_REFERENCE_RETENTION_ONLY,CODEX_PERSONALLY_INSPECTED,POST_REFERENCE_EVALUATION_ONLY
11,LIKELY_SUPPORTED_TUPLE_MISTAKENLY_EXCLUDED_SEARCH,ALL_31_UNIQUE_LIKELY_TUPLE_SEGMENTS,output/person_terg_r0_set_valued_explanation_constraint_propagation_20260829/figures/real_image_review/01_strong_contraction_grounding_overlay.png,No likely-supported joint tuple was excluded in the complete search.,NO_HARM_FOUND,CODEX_PERSONALLY_INSPECTED,POST_REFERENCE_EVALUATION_ONLY
12,MECHANISM_SUMMARY,ALL_DEVELOPMENT_SEGMENTS,output/person_terg_r0_set_valued_explanation_constraint_propagation_20260829/figures/real_image_review/00_mechanism_summary.png,"Exact same-unit contraction, evidence synergy, family-domain non-contraction, and retention are shown together.",SUMMARY_EVIDENCE,CODEX_PERSONALLY_INSPECTED,PRE_REFERENCE_SEMANTIC_REALITY_CHECK
