case_name,status,segment_id,explanation_component_id,path
01_long_single_object_persistence,OBSERVED,TERGS_90732AAA7ED6876C7E68,,output\person_physics_guided_image_domain_study_20260824\terg_d0_temporal_event_response_graph_mechanism_exploration\post_reference\figures\temporal_review_packs\01_long_single_object_persistence.png
02_stable_two_object_order,OBSERVED,TERGS_447E05427C2D6C44CC40,,output\person_physics_guided_image_domain_study_20260824\terg_d0_temporal_event_response_graph_mechanism_exploration\post_reference\figures\temporal_review_packs\02_stable_two_object_order.png
03_optical_approach_tendency,OBSERVED,TERGS_447E05427C2D6C44CC40,,output\person_physics_guided_image_domain_study_20260824\terg_d0_temporal_event_response_graph_mechanism_exploration\post_reference\figures\temporal_review_packs\03_optical_approach_tendency.png
04_optical_separation_tendency,OBSERVED,TERGS_1CFF140A9BB35DBEE86F,,output\person_physics_guided_image_domain_study_20260824\terg_d0_temporal_event_response_graph_mechanism_exploration\post_reference\figures\temporal_review_packs\04_optical_separation_tendency.png
05_optical_order_change_candidate,CATEGORY_NOT_OBSERVED,,,
06_optical_overlap_uncertainty,OBSERVED,TERGS_8BEED5994DAAC1AE86CF,,output\person_physics_guided_image_domain_study_20260824\terg_d0_temporal_event_response_graph_mechanism_exploration\post_reference\figures\temporal_review_packs\06_optical_overlap_uncertainty.png
07_sar_split_like,OBSERVED,TERGS_90732AAA7ED6876C7E68,TERGXC_806780C25931A78D09C1,output\person_physics_guided_image_domain_study_20260824\terg_d0_temporal_event_response_graph_mechanism_exploration\post_reference\figures\temporal_review_packs\07_sar_split_like.png
08_sar_merge_like,OBSERVED,TERGS_90732AAA7ED6876C7E68,TERGXC_C584E2322D118D2CFD42,output\person_physics_guided_image_domain_study_20260824\terg_d0_temporal_event_response_graph_mechanism_exploration\post_reference\figures\temporal_review_packs\08_sar_merge_like.png
09_complete_p0_continuity,OBSERVED,TERGS_E766DA8C46F860D1BA2F,TERGXC_1FD4CF2856175478AA05,output\person_physics_guided_image_domain_study_20260824\terg_d0_temporal_event_response_graph_mechanism_exploration\post_reference\figures\temporal_review_packs\09_complete_p0_continuity.png
10_partial_or_unavailable_p0_continuity,OBSERVED,TERGS_E766DA8C46F860D1BA2F,TERGXC_A97D2FC78FCD287ADEEE,output\person_physics_guided_image_domain_study_20260824\terg_d0_temporal_event_response_graph_mechanism_exploration\post_reference\figures\temporal_review_packs\10_partial_or_unavailable_p0_continuity.png
11_likely_grounded_potential_disambiguation,OBSERVED,TERGS_E766DA8C46F860D1BA2F,TERGXC_1FD4CF2856175478AA05,output\person_physics_guided_image_domain_study_20260824\terg_d0_temporal_event_response_graph_mechanism_exploration\post_reference\figures\temporal_review_packs\11_likely_grounded_potential_disambiguation.png
12_multiple_valid_or_ambiguous_grounding,CATEGORY_NOT_OBSERVED,,,
13_boundary_or_censoring,OBSERVED,TERGS_2A1E38ABAA50E3792676,,output\person_physics_guided_image_domain_study_20260824\terg_d0_temporal_event_response_graph_mechanism_exploration\post_reference\figures\temporal_review_packs\13_boundary_or_censoring.png
14_birth_death_event,OBSERVED,TERGS_90732AAA7ED6876C7E68,TERGXC_C584E2322D118D2CFD42,output\person_physics_guided_image_domain_study_20260824\terg_d0_temporal_event_response_graph_mechanism_exploration\post_reference\figures\temporal_review_packs\14_birth_death_event.png
15_shared_response_grounding,OBSERVED,TERGS_E766DA8C46F860D1BA2F,TERGXC_1FD4CF2856175478AA05,output\person_physics_guided_image_domain_study_20260824\terg_d0_temporal_event_response_graph_mechanism_exploration\post_reference\figures\temporal_review_packs\15_shared_response_grounding.png
16_counterexample,OBSERVED,TERGS_E766DA8C46F860D1BA2F,,output\person_physics_guided_image_domain_study_20260824\terg_d0_temporal_event_response_graph_mechanism_exploration\post_reference\figures\temporal_review_packs\16_counterexample.png
