run_id,frame_index,target_id,entity_id,range_geometry_status,reference_range_m,optical_frame_index,optical_timestamp_ms,nominal_time_delta_ms,bbox_bottom_normalized,bbox_height_normalized,sync_status,runtime_range_interval_computed,reason_not_computed
R01ZF,0,R01ZF_SARPERSON01,R01ZF_REUSED_R01ZF_PERSON003,UNAVAILABLE_NO_CAUSAL_OPTICAL_OBSERVATION_IN_CONTEXT,7.065090476043427,,,,,,,,
R01ZF,0,R01ZF_SARPERSON02,R01ZF_REUSED_R01ZF_PERSON001,FOOTPOINT_GEOMETRY_INPUT_PRESENT_VISUAL_STATE_PENDING,5.457840893996258,0.0,0.0,0.0,0.6013888888888889,0.3746527777777778,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False,missing camera K/height/pitch-roll/extrinsic/ground plane; bbox bottom not yet a validated footpoint
R01ZF,0,R01ZF_SARPERSON03,R01ZF_REUSED_R01ZF_PERSON002,FOOTPOINT_GEOMETRY_INPUT_PRESENT_VISUAL_STATE_PENDING,5.182475229053791,0.0,0.0,0.0,0.6020833333333333,0.3701388888888889,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False,missing camera K/height/pitch-roll/extrinsic/ground plane; bbox bottom not yet a validated footpoint
R01ZF,5,R01ZF_SARPERSON01,R01ZF_REUSED_R01ZF_PERSON003,UNAVAILABLE_NO_CAUSAL_OPTICAL_OBSERVATION_IN_CONTEXT,6.746872824992112,,,,,,,,
R01ZF,5,R01ZF_SARPERSON02,R01ZF_REUSED_R01ZF_PERSON001,FOOTPOINT_GEOMETRY_INPUT_PRESENT_VISUAL_STATE_PENDING,5.223266112293208,3.0,167.0,0.0,0.6041102656611574,0.36989740442347224,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False,missing camera K/height/pitch-roll/extrinsic/ground plane; bbox bottom not yet a validated footpoint
R01ZF,5,R01ZF_SARPERSON03,R01ZF_REUSED_R01ZF_PERSON002,FOOTPOINT_GEOMETRY_INPUT_PRESENT_VISUAL_STATE_PENDING,4.994085012351132,3.0,167.0,0.0,0.6049637405960648,0.36923867684824074,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False,missing camera K/height/pitch-roll/extrinsic/ground plane; bbox bottom not yet a validated footpoint
R01ZF,10,R01ZF_SARPERSON01,R01ZF_REUSED_R01ZF_PERSON003,UNAVAILABLE_NO_CAUSAL_OPTICAL_OBSERVATION_IN_CONTEXT,6.411588810535528,,,,,,,,
R01ZF,10,R01ZF_SARPERSON02,R01ZF_REUSED_R01ZF_PERSON001,FOOTPOINT_GEOMETRY_INPUT_PRESENT_VISUAL_STATE_PENDING,5.053193729280288,6.0,333.0,0.0,0.60600710268375,0.3643745422363426,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False,missing camera K/height/pitch-roll/extrinsic/ground plane; bbox bottom not yet a validated footpoint
R01ZF,10,R01ZF_SARPERSON03,R01ZF_REUSED_R01ZF_PERSON002,FOOTPOINT_GEOMETRY_INPUT_PRESENT_VISUAL_STATE_PENDING,4.865404773189705,6.0,333.0,0.0,0.60815554018375,0.3641962122034259,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False,missing camera K/height/pitch-roll/extrinsic/ground plane; bbox bottom not yet a validated footpoint
R01ZF,15,R01ZF_SARPERSON01,R01ZF_REUSED_R01ZF_PERSON003,UNAVAILABLE_NO_CAUSAL_OPTICAL_OBSERVATION_IN_CONTEXT,6.182424762600699,,,,,,,,
R01ZF,15,R01ZF_SARPERSON02,R01ZF_REUSED_R01ZF_PERSON001,FOOTPOINT_GEOMETRY_INPUT_PRESENT_VISUAL_STATE_PENDING,4.917809263525111,9.0,500.0,0.0,0.6102983262803704,0.35820549858939815,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False,missing camera K/height/pitch-roll/extrinsic/ground plane; bbox bottom not yet a validated footpoint
R01ZF,15,R01ZF_SARPERSON03,R01ZF_REUSED_R01ZF_PERSON002,FOOTPOINT_GEOMETRY_INPUT_PRESENT_VISUAL_STATE_PENDING,4.758700651375341,9.0,500.0,0.0,0.6136689927843055,0.36302834969981485,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False,missing camera K/height/pitch-roll/extrinsic/ground plane; bbox bottom not yet a validated footpoint
R01ZF,17,R01ZF_SARPERSON01,R01ZF_REUSED_R01ZF_PERSON003,FOOTPOINT_GEOMETRY_INPUT_PRESENT_VISUAL_STATE_PENDING,6.080485770884156,10.0,556.0,11.0,0.5819795961733334,0.37466311984592593,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False,missing camera K/height/pitch-roll/extrinsic/ground plane; bbox bottom not yet a validated footpoint
R01ZF,17,R01ZF_SARPERSON02,R01ZF_REUSED_R01ZF_PERSON001,FOOTPOINT_GEOMETRY_INPUT_PRESENT_VISUAL_STATE_PENDING,4.8039959787441475,10.0,556.0,11.0,0.6107239899812037,0.35566180193865743,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False,missing camera K/height/pitch-roll/extrinsic/ground plane; bbox bottom not yet a validated footpoint
R01ZF,17,R01ZF_SARPERSON03,R01ZF_REUSED_R01ZF_PERSON002,FOOTPOINT_GEOMETRY_INPUT_PRESENT_VISUAL_STATE_PENDING,4.710629871650927,10.0,556.0,11.0,0.6138275711624537,0.36204605102537035,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False,missing camera K/height/pitch-roll/extrinsic/ground plane; bbox bottom not yet a validated footpoint
R01ZF,20,R01ZF_SARPERSON01,R01ZF_REUSED_R01ZF_PERSON003,FOOTPOINT_GEOMETRY_INPUT_PRESENT_VISUAL_STATE_PENDING,5.917899401870926,12.0,667.0,0.0,0.5861480712890741,0.3730393586335185,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False,missing camera K/height/pitch-roll/extrinsic/ground plane; bbox bottom not yet a validated footpoint
