tree_id,optical_frame_index,optical_x_px,selection_semantics
TREE_A_USER_F120,80,3260.0,CODEX_VISUAL_DEVELOPMENT_MANUAL_KNOT_NO_PERSON_REFERENCE
TREE_A_USER_F120,100,2210.0,CODEX_VISUAL_DEVELOPMENT_MANUAL_KNOT_NO_PERSON_REFERENCE
TREE_A_USER_F120,120,1660.0,CODEX_VISUAL_DEVELOPMENT_MANUAL_KNOT_NO_PERSON_REFERENCE
TREE_A_USER_F120,140,600.0,CODEX_VISUAL_DEVELOPMENT_MANUAL_KNOT_NO_PERSON_REFERENCE
TREE_B_NEXT,120,3950.0,CODEX_VISUAL_DEVELOPMENT_MANUAL_KNOT_NO_PERSON_REFERENCE
TREE_B_NEXT,140,2300.0,CODEX_VISUAL_DEVELOPMENT_MANUAL_KNOT_NO_PERSON_REFERENCE
TREE_B_NEXT,160,1850.0,CODEX_VISUAL_DEVELOPMENT_MANUAL_KNOT_NO_PERSON_REFERENCE
TREE_B_NEXT,180,950.0,CODEX_VISUAL_DEVELOPMENT_MANUAL_KNOT_NO_PERSON_REFERENCE
TREE_B_NEXT,200,100.0,CODEX_VISUAL_DEVELOPMENT_MANUAL_KNOT_NO_PERSON_REFERENCE
TREE_C_NEXT,160,3450.0,CODEX_VISUAL_DEVELOPMENT_MANUAL_KNOT_NO_PERSON_REFERENCE
TREE_C_NEXT,180,2850.0,CODEX_VISUAL_DEVELOPMENT_MANUAL_KNOT_NO_PERSON_REFERENCE
TREE_C_NEXT,200,2050.0,CODEX_VISUAL_DEVELOPMENT_MANUAL_KNOT_NO_PERSON_REFERENCE
TREE_C_NEXT,220,1400.0,CODEX_VISUAL_DEVELOPMENT_MANUAL_KNOT_NO_PERSON_REFERENCE
TREE_C_NEXT,240,500.0,CODEX_VISUAL_DEVELOPMENT_MANUAL_KNOT_NO_PERSON_REFERENCE
